epoch,beam1_deg,beam2_deg,beam3_deg,beam4_deg,energy1,energy2,energy3,energy4,dominant_beam,dominance_ratio
1788692825.031161,143.3740444904901,190.39193292545562,141.91541661209882,143.3740444904901,2592807.75,0.0,1814286.75,2592807.75,1,1.0
1788692825.1846783,143.3740444904901,190.39193292545562,139.77114702406504,143.3740444904901,389754.59375,0.0,644577.6875,389754.59375,3,1.653803952118268
1788692825.3379228,143.3740444904901,190.39193292545562,140.73000996088643,143.3740444904901,2642038.0,0.0,1892389.625,2642038.0,1,1.0
1788692825.4806752,143.3740444904901,190.39193292545562,85.01768003327734,143.3740444904901,0.0,0.0,0.0,0.0,1,0.0
1788692825.6236787,143.3740444904901,190.39193292545562,142.5693116024792,143.3740444904901,3354371.25,0.0,1311068.25,3354371.25,1,1.0
1788692825.7873175,143.3740444904901,190.39193292545562,141.19447648482566,143.3740444904901,2763589.5,0.0,2919136.5,2763589.5,3,1.0562844083754117
1788692825.9304779,143.10762613172457,190.39193292545562,93.8645440274389,143.10762613172457,375015.40625,0.0,497809.15625,375015.40625,3,1.3274365478151606
1788692826.0734575,143.10762613172457,190.39193292545562,141.360532043927,143.10762613172457,1345757.25,0.0,882652.375,1345757.25,1,1.0
1788692826.216327,143.10762613172457,190.39193292545562,97.01896444277173,143.10762613172457,0.0,0.0,0.0,0.0,1,0.0
1788692826.3590832,143.10762613172457,190.39193292545562,94.99067829703391,94.99067829703391,0.0,0.0,0.0,0.0,1,0.0
1788692826.5226078,143.10762613172457,190.39193292545562,94.3142505125817,94.3142505125817,393920.625,0.0,0.0,393920.625,1,1.0
1788692826.6654751,142.72697968927974,190.39193292545562,141.98599978698175,142.72697968927974,882531.875,0.0,344792.5625,882531.875,1,1.0
1788692826.8083532,142.72697968927974,190.39193292545562,127.85163363931404,142.72697968927974,748299.75,0.0,167814.65625,748299.75,1,1.0
1788692826.951636,142.72697968927974,190.39193292545562,141.71714988087172,142.72697968927974,3141895.0,0.0,1065656.0,3141895.0,1,1.0
1788692827.1152394,142.46364857601907,190.39193292545562,140.34977332979184,142.46364857601907,2653458.0,0.0,1194628.125,2653458.0,1,1.0
1788692827.2581277,142.46364857601907,190.39193292545562,105.84007862376232,142.46364857601907,0.0,0.0,0.0,0.0,1,0.0
